statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
1,2020,1,1386,0.007953724,0.030368764,0.002169197,0.008805032,0.025157232,0.001257862,0.007623888,0.03303685,0.002541296,0.48342773,0.47884563,0.49876249,766709,AL,ALABAMA
2,2020,1,392,0.062015504,0.13436693,0.010335918,0.07526882,0.1577061,0.014336918,0.083333336,0.16666667,0.015873017,0.19993368,0.16937861,0.16960929,121065,AK,ALASKA
4,2020,1,1860,0.014099783,0.057483733,0.001084599,0.009001637,0.044189852,0,0.016638935,0.069051579,0.001663894,0.3208079,0.34174141,0.29632863,1104296,AZ,ARIZONA
5,2020,1,1006,0.006006006,0.029029028,0.002002002,0.007462686,0.027985075,0.003731343,0.007518797,0.031954888,0,0.41612461,0.41298512,0.41176841,468587,AR,ARKANSAS
6,2020,1,8999,0.014411798,0.076974638,0.002681265,0.013689014,0.072306074,0.001579502,0.017200191,0.086717628,0.004061156,0.16075408,0.1624369,0.16260062,5853690,CA,CALIFORNIA
8,2020,1,1803,0.008958567,0.041433372,0.006159015,0.00802139,0.042780749,0.004456328,0.014656144,0.043968432,0.011273957,0.33110058,0.33789322,0.32443002,879499,CO,COLORADO
9,2020,1,1079,0.011204482,0.042950515,0.001867414,0.011363637,0.048701297,0.003246753,0.008196721,0.032786883,0,0.351886,0.33646166,0.36872402,512299,CT,CONNECTICUT
10,2020,1,204,0,0.019607844,0,0,0.022900764,0,0,0.021052632,0,0.38108963,0.3627519,0.37130648,131123,DE,DELAWARE
11,2020,1,194,0.12435233,0.63730568,0.010362694,0.12878788,0.68181819,0,0.12121212,0.61616164,0.02020202,-0.28866586,-0.29405415,-0.28999811,76570,DC,DISTRICT OF COLUMBIA
12,2020,1,3856,0.011497256,0.049647242,0.001567808,0.008966696,0.039282665,0.001280956,0.014205987,0.061390158,0.00152207,0.26817167,0.27894557,0.25417149,2835482,FL,FLORIDA
13,2020,1,2237,0.008524002,0.032750111,0.001794527,0.005426357,0.027906977,0.000775194,0.012807881,0.038423646,0.002955665,0.35865733,0.36399844,0.35049766,1708226,GA,GEORGIA
15,2020,1,268,0.003745318,0.041198503,0,0,0.037433155,0,0.009345794,0.046728972,0,0.3251414,0.30630299,0.3490243,175104,HI,HAWAII
16,2020,1,691,0.008746356,0.040816326,0,0.00973236,0.05109489,0,0.008219178,0.035616439,0,0.36203799,0.38210925,0.34495774,300301,ID,IDAHO
17,2020,1,3903,0.006431696,0.018008746,0.001029071,0.004782782,0.019928258,0.00079713,0.006915629,0.016597511,0.001383126,0.48370212,0.46250296,0.48727912,1977167,IL,ILLINOIS
18,2020,1,1824,0.007150715,0.022552256,0.00220022,0.007846557,0.026155187,0.001743679,0.005959475,0.019070322,0.00238379,0.52462655,0.50281209,0.55709136,1030859,IN,INDIANA
19,2020,1,1307,0.006158583,0.022324866,0.001539646,0.004172462,0.019471489,0,0.007961784,0.028662421,0.003184713,0.53251362,0.54172331,0.52144456,493937,IA,IOWA
20,2020,1,1312,0.00382263,0.02293578,0.001529052,0.003856041,0.020565553,0.001285347,0.00304414,0.02739726,0.00152207,0.37505248,0.37273756,0.38376606,485969,KS,KANSAS
21,2020,1,1386,0.007965243,0.02679218,0.002172339,0.004907975,0.028220858,0.002453988,0.01161103,0.030478954,0.001451379,0.45848376,0.4445309,0.46506509,718006,KY,KENTUCKY
22,2020,1,1277,0.013312451,0.036805011,0.002349256,0.013173653,0.037125748,0.00239521,0.012838801,0.035663337,0.001426534,0.41649893,0.4003332,0.44576895,682986,LA,LOUISIANA
23,2020,1,559,0.014414415,0.045045044,0.003603604,0.022662889,0.062322944,0.005665722,0.006920415,0.031141868,0,0.43656322,0.39106205,0.48372391,174632,ME,MAINE
24,2020,1,1365,0.010997067,0.053519063,0.004398827,0.01330377,0.057649668,0.00443459,0.011725293,0.0519263,0.00837521,0.27545795,0.26560673,0.26955047,877783,MD,MARYLAND
25,2020,1,1744,0.010362694,0.032815199,0.002878526,0.010018215,0.038251366,0.001821494,0.011583012,0.025740026,0.005148005,0.35780185,0.32422435,0.39110443,928410,MA,MASSACHUSETTS
26,2020,1,3261,0.007409694,0.022846557,0.002161161,0.008881923,0.019331243,0.002089864,0.007186291,0.026533997,0.00331675,0.50014991,0.50743586,0.48397309,1493613,MI,MICHIGAN
27,2020,1,1991,0.010791367,0.031860225,0.003083248,0.008628955,0.024928093,0.002876318,0.014097745,0.041353382,0.003759399,0.47622287,0.49785045,0.45364496,869970,MN,MINNESOTA
28,2020,1,960,0.008368201,0.029288704,0.001046025,0.009363296,0.029962547,0.001872659,0.005617978,0.029962547,0,0.45254508,0.43504131,0.47204399,501039,MS,MISSISSIPPI
29,2020,1,2216,0.007269423,0.039073147,0.001363017,0.00848111,0.037779491,0.00231303,0.006216697,0.045293074,0,0.40403372,0.38344133,0.42525503,899340,MO,MISSOURI
30,2020,1,690,0.015060241,0.070783131,0.001506024,0.027522936,0.073394492,0,0.007874016,0.073490813,0.002624672,0.37053612,0.34737143,0.38369331,140602,MT,MONTANA
31,2020,1,585,0.003442341,0.013769363,0.00172117,0.002659574,0.015957447,0,0.004132231,0.012396694,0.004132231,0.42728108,0.43395925,0.40753675,243867,NE,NEBRASKA
32,2020,1,616,0.011513158,0.0625,0.001644737,0.01055409,0.060686015,0.002638523,0.015267176,0.061068702,0.003816794,0.24333386,0.25597644,0.23115572,448490,NV,NEVADA
