date,country,cases,deaths
1/21/2020,United States,1,0
1/22/2020,United States,1,0
1/23/2020,United States,1,0
1/24/2020,United States,2,0
1/25/2020,United States,3,0
1/26/2020,United States,5,0
1/27/2020,United States,5,0
1/28/2020,United States,5,0
1/29/2020,United States,5,0
1/30/2020,United States,6,0
1/31/2020,United States,7,0
2/1/2020,United States,8,0
2/2/2020,United States,11,0
2/3/2020,United States,11,0
2/4/2020,United States,11,0
2/5/2020,United States,12,0
2/6/2020,United States,12,0
2/7/2020,United States,12,0
2/8/2020,United States,12,0
2/9/2020,United States,12,0
2/10/2020,United States,13,0
2/11/2020,United States,13,0
2/12/2020,United States,14,0
2/13/2020,United States,15,0
2/14/2020,United States,15,0
2/15/2020,United States,15,0
2/16/2020,United States,15,0
2/17/2020,United States,25,0
2/18/2020,United States,25,0
2/19/2020,United States,25,0
2/20/2020,United States,27,0
2/21/2020,United States,30,0
2/22/2020,United States,30,0
2/23/2020,United States,30,0
2/24/2020,United States,43,0
2/25/2020,United States,45,0
2/26/2020,United States,60,0
2/27/2020,United States,60,0
2/28/2020,United States,65,0
2/29/2020,United States,70,1
3/1/2020,United States,88,3
3/2/2020,United States,104,6
3/3/2020,United States,125,10
3/4/2020,United States,161,12
3/5/2020,United States,228,12
3/6/2020,United States,311,15
3/7/2020,United States,428,19
3/8/2020,United States,547,22
3/9/2020,United States,748,26
3/10/2020,United States,1018,31
3/11/2020,United States,1263,37
3/12/2020,United States,1668,43
3/13/2020,United States,2224,50
3/14/2020,United States,2898,60
3/15/2020,United States,3600,68
3/16/2020,United States,4507,91
3/17/2020,United States,5906,117
3/18/2020,United States,8350,162
3/19/2020,United States,12393,212
3/20/2020,United States,18012,277
3/21/2020,United States,24528,360
3/22/2020,United States,33073,458
3/23/2020,United States,43505,579
3/24/2020,United States,53938,785
3/25/2020,United States,68572,1054
3/26/2020,United States,85570,1353
3/27/2020,United States,102900,1770
3/28/2020,United States,123966,2300
3/29/2020,United States,142486,2718
3/30/2020,United States,163955,3368
3/31/2020,United States,188461,4304
4/1/2020,United States,215391,5325
4/2/2020,United States,245108,6541
4/3/2020,United States,277426,7932
4/4/2020,United States,312525,9488
4/5/2020,United States,338141,10856
4/6/2020,United States,369057,12382
4/7/2020,United States,399394,14616
4/8/2020,United States,431214,16701
4/9/2020,United States,465913,18821
4/10/2020,United States,499386,21084
4/11/2020,United States,531106,23168
4/12/2020,United States,558249,24849
4/13/2020,United States,584018,26613
4/14/2020,United States,610709,29318
4/15/2020,United States,640742,32070
4/16/2020,United States,672355,34419
4/17/2020,United States,703864,36708
4/18/2020,United States,732262,38659
4/19/2020,United States,757596,40179
4/20/2020,United States,784991,42016
4/21/2020,United States,810505,44688
4/22/2020,United States,839336,47059
4/23/2020,United States,873112,49228
4/24/2020,United States,909853,51360
4/25/2020,United States,944261,53327
4/26/2020,United States,970996,54580
4/27/2020,United States,994193,56022
4/28/2020,United States,1018844,58416
4/29/2020,United States,1045399,60930
4/30/2020,United States,1075756,63140
5/1/2020,United States,1109726,64902
5/2/2020,United States,1139200,66485
5/3/2020,United States,1165340,67816
5/4/2020,United States,1187302,68905
5/5/2020,United States,1211011,71139
5/6/2020,United States,1235517,73847
5/7/2020,United States,1263995,75805
5/8/2020,United States,1291643,77380
5/9/2020,United States,1316511,78834
5/10/2020,United States,1336828,79766
5/11/2020,United States,1354449,80748
5/12/2020,United States,1376749,82400
5/13/2020,United States,1397894,84168
5/14/2020,United States,1424856,85906
5/15/2020,United States,1451093,87499
5/16/2020,United States,1474752,88724
5/17/2020,United States,1493766,89568
5/18/2020,United States,1515593,90414
5/19/2020,United States,1536570,91934
5/20/2020,United States,1559640,93411
5/21/2020,United States,1585373,94722
5/22/2020,United States,1609172,96010
5/23/2020,United States,1631440,97060
5/24/2020,United States,1651471,97680
5/25/2020,United States,1670571,98190
5/26/2020,United States,1689467,98937
5/27/2020,United States,1708211,100422
5/28/2020,United States,1730723,101622
5/29/2020,United States,1755271,102812
5/30/2020,United States,1778668,103775
5/31/2020,United States,1799302,104379
6/1/2020,United States,1821199,105113
6/2/2020,United States,1841990,106195
6/3/2020,United States,1861977,107184
6/4/2020,United States,1883593,108192
6/5/2020,United States,1912302,109304
6/6/2020,United States,1934818,110032
6/7/2020,United States,1953434,110422
6/8/2020,United States,1971641,111144
6/9/2020,United States,1990446,112174
6/10/2020,United States,2013298,113103
6/11/2020,United States,2036500,113980
6/12/2020,United States,2061993,114759
6/13/2020,United States,2087327,115451
6/14/2020,United States,2106457,115768
6/15/2020,United States,2126574,116216
6/16/2020,United States,2151459,116985
6/17/2020,United States,2177114,117746
6/18/2020,United States,2205173,118473
6/19/2020,United States,2236009,119171
6/20/2020,United States,2268034,119717
6/21/2020,United States,2294413,119974
6/22/2020,United States,2324879,120334
6/23/2020,United States,2359939,121167
6/24/2020,United States,2396928,121934
6/25/2020,United States,2438101,124400
6/26/2020,United States,2483629,125033
6/27/2020,United States,2525928,125544
6/28/2020,United States,2565436,125815
6/29/2020,United States,2604932,126162
6/30/2020,United States,2653321,127462
7/1/2020,United States,2703296,128104
7/2/2020,United States,2758855,128827
7/3/2020,United States,2816009,129418
7/4/2020,United States,2866015,129679
7/5/2020,United States,2910782,129941
7/6/2020,United States,2958098,130332
7/7/2020,United States,3012182,131290
7/8/2020,United States,3071637,132238
7/9/2020,United States,3131526,133079
7/10/2020,United States,3199753,133907
7/11/2020,United States,3260474,134582
7/12/2020,United States,3318279,134977
7/13/2020,United States,3379846,135402
7/14/2020,United States,3445448,136356
7/15/2020,United States,3513790,137327
7/16/2020,United States,3589477,138285
7/17/2020,United States,3660400,139186
7/18/2020,United States,3722851,139961
7/19/2020,United States,3785126,140373
7/20/2020,United States,3845014,140904
7/21/2020,United States,3910291,142031
7/22/2020,United States,3980030,143167
7/23/2020,United States,4050036,144283
7/24/2020,United States,4123561,145429
7/25/2020,United States,4190337,146313
7/26/2020,United States,4244554,146753
7/27/2020,United States,4303735,148449
7/28/2020,United States,4366851,149776
7/29/2020,United States,4433633,151172
7/30/2020,United States,4502581,152433
7/31/2020,United States,4571669,153862
8/1/2020,United States,4628497,154917
8/2/2020,United States,4679291,155337
8/3/2020,United States,4726775,155945
8/4/2020,United States,4780324,157301
8/5/2020,United States,4834047,158554
8/6/2020,United States,4891561,159625
8/7/2020,United States,4952718,160981
8/8/2020,United States,5007958,161947
8/9/2020,United States,5056438,162486
8/10/2020,United States,5103611,163023
8/11/2020,United States,5156968,164474
8/12/2020,United States,5211246,165952
8/13/2020,United States,5265307,167165
8/14/2020,United States,5324784,168341
8/15/2020,United States,5375527,169400
8/16/2020,United States,5417664,169914
8/17/2020,United States,5455187,170449
8/18/2020,United States,5498420,171798
8/19/2020,United States,5541433,173093
8/20/2020,United States,5587462,174136
8/21/2020,United States,5636491,175297
8/22/2020,United States,5681517,176247
8/23/2020,United States,5713850,176693
8/24/2020,United States,5754254,177197
8/25/2020,United States,5793437,178410
8/26/2020,United States,5838756,179603
8/27/2020,United States,5884366,180729
8/28/2020,United States,5930930,181739
8/29/2020,United States,5975540,182610
8/30/2020,United States,6008970,182984
8/31/2020,United States,6045455,183472
9/1/2020,United States,6089504,184563
9/2/2020,United States,6121948,185639
9/3/2020,United States,6168342,186717
9/4/2020,United States,6220446,187697
9/5/2020,United States,6262700,188409
9/6/2020,United States,6292699,188820
9/7/2020,United States,6317865,189083
9/8/2020,United States,6346806,189541
9/9/2020,United States,6380138,190716
9/10/2020,United States,6418198,191631
9/11/2020,United States,6465766,192858
9/12/2020,United States,6504870,193559
9/13/2020,United States,6538213,193958
9/14/2020,United States,6575100,194408
9/15/2020,United States,6614317,195689
9/16/2020,United States,6653585,196686
9/17/2020,United States,6698895,197535
9/18/2020,United States,6747782,198484
9/19/2020,United States,6789593,199154
9/20/2020,United States,6825949,199367
9/21/2020,United States,6880899,199797
9/22/2020,United States,6918290,200738
9/23/2020,United States,6959841,201828
9/24/2020,United States,7005043,202713
9/25/2020,United States,7059624,203566
9/26/2020,United States,7102321,204335
9/27/2020,United States,7139619,204602
9/28/2020,United States,7176979,204952
9/29/2020,United States,7220676,205878
9/30/2020,United States,7262734,206852
10/1/2020,United States,7309152,207699
